providerName,resourceType,completeModeDeletion
Microsoft.ApiManagement,reportFeedback,FALSE
Microsoft.ApiManagement,service,TRUE
Microsoft.ApiManagement,service / eventGridFilters,FALSE
Microsoft.ApiManagement,validateServiceName,FALSE
Microsoft.App,connectedEnvironments,TRUE
Microsoft.App,connectedEnvironments / certificates,TRUE
Microsoft.App,containerApps,TRUE
Microsoft.App,managedEnvironments,TRUE
Microsoft.App,managedEnvironments / certificates,TRUE
Microsoft.AppAssessment,migrateProjects,TRUE
Microsoft.AppAssessment,migrateProjects / assessments,FALSE
Microsoft.AppAssessment,migrateProjects / assessments / assessedApplications,FALSE
Microsoft.AppAssessment,migrateProjects / assessments / assessedApplications / machines,FALSE
Microsoft.AppAssessment,migrateProjects / assessments / assessedMachines,FALSE
Microsoft.AppAssessment,migrateProjects / assessments / assessedMachines / applications,FALSE
Microsoft.AppAssessment,migrateProjects / assessments / machinesToAssess,FALSE
Microsoft.AppAssessment,migrateProjects / sites,FALSE
Microsoft.AppAssessment,migrateProjects / sites / applianceConfigurations,FALSE
Microsoft.AppAssessment,migrateProjects / sites / machines,FALSE
Microsoft.AppConfiguration,configurationStores,TRUE
Microsoft.AppConfiguration,configurationStores / eventGridFilters,FALSE
Microsoft.AppConfiguration,configurationStores / keyValues,FALSE
Microsoft.AppConfiguration,configurationStores / replicas,FALSE
Microsoft.AppConfiguration,deletedConfigurationStores,FALSE
Microsoft.AppPlatform,runtimeVersions,FALSE
Microsoft.AppPlatform,Spring,TRUE
Microsoft.AppPlatform,Spring / apps,FALSE
Microsoft.AppPlatform,Spring / apps / deployments,FALSE
Microsoft.Attestation,attestationProviders,TRUE
Microsoft.Attestation,defaultProviders,FALSE
Microsoft.Authorization,accessReviewHistoryDefinitions,FALSE
Microsoft.Authorization,classicAdministrators,FALSE
Microsoft.Authorization,dataAliases,FALSE
Microsoft.Authorization,dataPolicyManifests,FALSE
Microsoft.Authorization,denyAssignments,FALSE
Microsoft.Authorization,diagnosticSettings,FALSE
Microsoft.Authorization,diagnosticSettingsCategories,FALSE
Microsoft.Authorization,elevateAccess,FALSE
Microsoft.Authorization,eligibleChildResources,FALSE
Microsoft.Authorization,locks,FALSE
Microsoft.Authorization,policyAssignments,FALSE
Microsoft.Authorization,policyDefinitions,FALSE
Microsoft.Authorization,policyExemptions,FALSE
Microsoft.Authorization,policySetDefinitions,FALSE
Microsoft.Authorization,privateLinkAssociations,FALSE
Microsoft.Authorization,resourceManagementPrivateLinks,TRUE
Microsoft.Authorization,roleAssignmentApprovals,FALSE
Microsoft.Authorization,roleAssignments,FALSE
Microsoft.Authorization,roleAssignmentScheduleInstances,FALSE
Microsoft.Authorization,roleAssignmentScheduleRequests,FALSE
Microsoft.Authorization,roleAssignmentSchedules,FALSE
Microsoft.Authorization,roleDefinitions,FALSE
Microsoft.Authorization,roleEligibilityScheduleInstances,FALSE
Microsoft.Authorization,roleEligibilityScheduleRequests,FALSE
Microsoft.Authorization,roleEligibilitySchedules,FALSE
Microsoft.Authorization,roleManagementPolicies,FALSE
Microsoft.Authorization,roleManagementPolicyAssignments,FALSE
Microsoft.Automanage,accounts,TRUE
Microsoft.Automanage,bestPractices,FALSE
Microsoft.Automanage,bestPractices / versions,FALSE
Microsoft.Automanage,configurationProfileAssignmentIntents,FALSE
Microsoft.Automanage,configurationProfileAssignments,FALSE
Microsoft.Automanage,configurationProfilePreferences,TRUE
Microsoft.Automanage,configurationProfiles,TRUE
Microsoft.Automanage,configurationProfiles / versions,TRUE
Microsoft.Automanage,patchJobConfigurations,TRUE
Microsoft.Automanage,patchJobConfigurations / patchJobs,FALSE
Microsoft.Automanage,patchSchedules,TRUE
Microsoft.Automanage,patchSchedules / associations,TRUE
Microsoft.Automanage,patchTiers,TRUE
Microsoft.Automanage,servicePrincipals,FALSE
Microsoft.Automation,automationAccounts,TRUE
Microsoft.Automation,automationAccounts / agentRegistrationInformation,FALSE
Microsoft.Automation,automationAccounts / configurations,TRUE
Microsoft.Automation,automationAccounts / hybridRunbookWorkerGroups,FALSE
Microsoft.Automation,automationAccounts / hybridRunbookWorkerGroups / hybridRunbookWorkers,FALSE
Microsoft.Automation,automationAccounts / jobs,FALSE
Microsoft.Automation,automationAccounts / privateEndpointConnectionProxies,FALSE
Microsoft.Automation,automationAccounts / privateEndpointConnections,FALSE
Microsoft.Automation,automationAccounts / privateLinkResources,FALSE
Microsoft.Automation,automationAccounts / runbooks,TRUE
Microsoft.Automation,automationAccounts / runtimes,TRUE
Microsoft.Automation,automationAccounts / softwareUpdateConfigurationMachineRuns,FALSE
Microsoft.Automation,automationAccounts / softwareUpdateConfigurationRuns,FALSE
Microsoft.Automation,automationAccounts / softwareUpdateConfigurations,FALSE
Microsoft.Automation,automationAccounts / webhooks,FALSE
Microsoft.Automation,deletedAutomationAccounts,FALSE
Microsoft.AutonomousDevelopmentPlatform,accounts,TRUE
Microsoft.AutonomousDevelopmentPlatform,accounts / datapools,FALSE
Microsoft.AutonomousDevelopmentPlatform,workspaces,TRUE
Microsoft.AutonomousDevelopmentPlatform,workspaces / eventgridfilters,FALSE
Microsoft.AutonomousSystems,workspaces,TRUE
Microsoft.AutonomousSystems,workspaces / validateCreateRequest,FALSE
Microsoft.AVS,privateClouds,TRUE
Microsoft.AVS,privateClouds / addons,FALSE
Microsoft.AVS,privateClouds / authorizations,FALSE
Microsoft.AVS,privateClouds / cloudLinks,FALSE
Microsoft.AVS,privateClouds / clusters,FALSE
Microsoft.AVS,privateClouds / clusters / datastores,FALSE
Microsoft.AVS,privateClouds / clusters / placementPolicies,FALSE
Microsoft.AVS,privateClouds / clusters / virtualMachines,FALSE
Microsoft.AVS,privateClouds / globalReachConnections,FALSE
Microsoft.AVS,privateClouds / hcxEnterpriseSites,FALSE
Microsoft.AVS,privateClouds / scriptExecutions,FALSE
Microsoft.AVS,privateClouds / scriptPackages,FALSE
Microsoft.AVS,privateClouds / scriptPackages / scriptCmdlets,FALSE
Microsoft.AVS,privateClouds / workloadNetworks,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / dhcpConfigurations,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / dnsServices,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / dnsZones,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / gateways,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / portMirroringProfiles,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / publicIPs,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / segments,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / virtualMachines,FALSE
Microsoft.AVS,privateClouds / workloadNetworks / vmGroups,FALSE
Microsoft.AzureActiveDirectory,b2cDirectories,TRUE
Microsoft.AzureActiveDirectory,b2ctenants,FALSE
Microsoft.AzureActiveDirectory,ciamDirectories,TRUE
Microsoft.AzureActiveDirectory,guestUsages,TRUE
Microsoft.AzureArcData,DataControllers,TRUE
Microsoft.AzureArcData,DataControllers / ActiveDirectoryConnectors,FALSE
Microsoft.AzureArcData,PostgresInstances,TRUE
Microsoft.AzureArcData,SqlManagedInstances,TRUE
Microsoft.AzureArcData,SqlServerInstances,TRUE
Microsoft.AzureArcData,SqlServerInstances / Databases,TRUE
Microsoft.AzureCIS,autopilotEnvironments,TRUE
Microsoft.AzureCIS,dstsServiceAccounts,TRUE
Microsoft.AzureCIS,dstsServiceClientIdentities,TRUE
Microsoft.AzureData,sqlServerRegistrations,TRUE
Microsoft.AzureData,sqlServerRegistrations / sqlServers,FALSE
Microsoft.AzureScan,scanningAccounts,TRUE
Microsoft.AzureSphere,catalogs,TRUE
Microsoft.AzureSphere,catalogs / certificates,FALSE
Microsoft.AzureSphere,catalogs / deployments,FALSE
Microsoft.AzureSphere,catalogs / devices,FALSE
Microsoft.AzureSphere,catalogs / images,FALSE
Microsoft.AzureSphere,catalogs / products,FALSE
Microsoft.AzureSphere,catalogs / products / devicegroups,FALSE
Microsoft.AzureStack,cloudManifestFiles,FALSE
Microsoft.AzureStack,generateDeploymentLicense,FALSE
Microsoft.AzureStack,linkedSubscriptions,TRUE
Microsoft.AzureStack,registrations,TRUE
Microsoft.AzureStack,registrations / customerSubscriptions,FALSE
Microsoft.AzureStack,registrations / products,FALSE
Microsoft.AzureStackHCI,clusters,TRUE
Microsoft.AzureStackHCI,clusters / arcSettings,FALSE
Microsoft.AzureStackHCI,clusters / arcSettings / extensions,FALSE
Microsoft.AzureStackHCI,clusters / offers,FALSE
Microsoft.AzureStackHCI,clusters / publishers,FALSE
Microsoft.AzureStackHCI,clusters / publishers / offers,FALSE
Microsoft.AzureStackHCI,clusters / updates,FALSE
Microsoft.AzureStackHCI,clusters / updates / updateRuns,FALSE
Microsoft.AzureStackHCI,clusters / updateSummaries,FALSE
Microsoft.AzureStackHCI,galleryImages,TRUE
Microsoft.AzureStackHCI,marketplaceGalleryImages,TRUE
Microsoft.AzureStackHCI,networkinterfaces,TRUE
Microsoft.AzureStackHCI,registeredSubscriptions,FALSE
Microsoft.AzureStackHCI,storageContainers,TRUE
Microsoft.AzureStackHCI,virtualharddisks,TRUE
Microsoft.AzureStackHCI,virtualmachines,TRUE
Microsoft.AzureStackHCI,virtualMachines / extensions,TRUE
Microsoft.AzureStackHCI,virtualmachines / hybrididentitymetadata,FALSE
Microsoft.AzureStackHCI,virtualnetworks,TRUE
Microsoft.BackupSolutions,VMwareApplications,TRUE
Microsoft.BareMetalInfrastructure,bareMetalInstances,TRUE
Microsoft.Batch,batchAccounts,TRUE
Microsoft.Batch,batchAccounts / certificates,FALSE
Microsoft.Batch,batchAccounts / detectors,FALSE
Microsoft.Batch,batchAccounts / pools,FALSE
Microsoft.Billing,billingAccounts,FALSE
Microsoft.Billing,billingAccounts / agreements,FALSE
Microsoft.Billing,billingAccounts / appliedReservationOrders,FALSE
Microsoft.Billing,billingAccounts / associatedTenants,FALSE
Microsoft.Billing,billingAccounts / billingPermissions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / billingPermissions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / billingRoleAssignments,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / billingRoleDefinitions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / billingSubscriptions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / createBillingRoleAssignment,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / customers,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / instructions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoices,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoices / pricesheet,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoices / transactions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / billingPermissions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / billingRoleAssignments,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / billingRoleDefinitions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / billingSubscriptions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / createBillingRoleAssignment,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / initiateTransfer,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / products,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / products / transfer,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / products / updateAutoRenew,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / transactions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / transfers,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / invoiceSections / validateDeleteInvoiceSectionEligibility,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / paymentMethodLinks,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / paymentMethods,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / policies,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / pricesheet,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / products,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / reservations,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / transactions,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / validateDeleteBillingProfileEligibility,FALSE
Microsoft.Billing,billingAccounts / billingProfiles / validateDetachPaymentMethodEligibility,FALSE
Microsoft.Billing,billingAccounts / billingRoleAssignments,FALSE
Microsoft.Billing,billingAccounts / billingRoleDefinitions,FALSE
Microsoft.Billing,billingAccounts / billingSubscriptionAliases,FALSE
Microsoft.Billing,billingAccounts / billingSubscriptions,FALSE
Microsoft.Billing,billingAccounts / billingSubscriptions / elevateRole,FALSE
Microsoft.Billing,billingAccounts / billingSubscriptions / invoices,FALSE
Microsoft.Billing,billingAccounts / createBillingRoleAssignment,FALSE
Microsoft.Billing,billingAccounts / customers,FALSE
Microsoft.Billing,billingAccounts / customers / billingPermissions,FALSE
Microsoft.Billing,billingAccounts / customers / billingRoleAssignments,FALSE
Microsoft.Billing,billingAccounts / customers / billingRoleDefinitions,FALSE
Microsoft.Billing,billingAccounts / customers / billingSubscriptions,FALSE
Microsoft.Billing,billingAccounts / customers / createBillingRoleAssignment,FALSE
Microsoft.Billing,billingAccounts / customers / initiateTransfer,FALSE
Microsoft.Billing,billingAccounts / customers / policies,FALSE
Microsoft.Billing,billingAccounts / customers / products,FALSE
Microsoft.Billing,billingAccounts / customers / transactions,FALSE
Microsoft.Billing,billingAccounts / customers / transfers,FALSE
Microsoft.Billing,billingAccounts / customers / transferSupportedAccounts,FALSE
Microsoft.Billing,billingAccounts / departments,FALSE
Microsoft.Billing,billingAccounts / departments / billingPermissions,FALSE
Microsoft.Billing,billingAccounts / departments / billingRoleAssignments,FALSE
Microsoft.Billing,billingAccounts / departments / billingRoleDefinitions,FALSE
Microsoft.Billing,billingAccounts / departments / billingSubscriptions,FALSE
Microsoft.Billing,billingAccounts / departments / enrollmentAccounts,FALSE
Microsoft.Billing,billingAccounts / enrollmentAccounts,FALSE
Microsoft.Billing,billingAccounts / enrollmentAccounts / billingPermissions,FALSE
Microsoft.Billing,billingAccounts / enrollmentAccounts / billingRoleAssignments,FALSE
Microsoft.Billing,billingAccounts / enrollmentAccounts / billingRoleDefinitions,FALSE
Microsoft.Billing,billingAccounts / enrollmentAccounts / billingSubscriptions,FALSE
Microsoft.Billing,billingAccounts / invoices,FALSE
Microsoft.Billing,billingAccounts / invoices / summary,FALSE
Microsoft.Billing,billingAccounts / invoices / transactions,FALSE
Microsoft.Billing,billingAccounts / invoices / transactionSummary,FALSE
Microsoft.Billing,billingAccounts / invoiceSections,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / billingSubscriptions,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / billingSubscriptions / transfer,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / elevate,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / initiateTransfer,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / products,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / products / transfer,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / products / updateAutoRenew,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / transactions,FALSE
Microsoft.Billing,billingAccounts / invoiceSections / transfers,FALSE
Microsoft.Billing,billingAccounts / lineOfCredit,FALSE
Microsoft.Billing,billingAccounts / notificationContacts,FALSE
Microsoft.Billing,billingAccounts / payableOverage,FALSE
Microsoft.Billing,billingAccounts / paymentMethods,FALSE
Microsoft.Billing,billingAccounts / payNow,FALSE
Microsoft.Billing,billingAccounts / permissionRequests,FALSE
Microsoft.Billing,billingAccounts / policies,FALSE
Microsoft.Billing,billingAccounts / products,FALSE
Microsoft.Billing,billingAccounts / promotionalCredits,FALSE
Microsoft.Billing,billingAccounts / reservationOrders,FALSE
Microsoft.Billing,billingAccounts / reservationOrders / reservations,FALSE
Microsoft.Billing,billingAccounts / reservations,FALSE
Microsoft.Billing,billingAccounts / savingsPlanOrders,FALSE
Microsoft.Billing,billingAccounts / savingsPlanOrders / savingsPlans,FALSE
Microsoft.Billing,billingAccounts / savingsPlans,FALSE
Microsoft.Billing,billingAccounts / transactions,FALSE
Microsoft.Billing,billingPeriods,FALSE
Microsoft.Billing,billingPermissions,FALSE
Microsoft.Billing,billingProperty,FALSE
Microsoft.Billing,billingRoleAssignments,FALSE
Microsoft.Billing,billingRoleDefinitions,FALSE
Microsoft.Billing,createBillingRoleAssignment,FALSE
Microsoft.Billing,departments,FALSE
Microsoft.Billing,enrollmentAccounts,FALSE
Microsoft.Billing,invoices,FALSE
Microsoft.Billing,paymentMethods,FALSE
Microsoft.Billing,permissionRequests,FALSE
Microsoft.Billing,promotionalCredits,FALSE
Microsoft.Billing,promotions,FALSE
Microsoft.Billing,transfers,FALSE
Microsoft.Billing,transfers / acceptTransfer,FALSE
Microsoft.Billing,transfers / declineTransfer,FALSE
Microsoft.Billing,transfers / validateTransfer,FALSE
Microsoft.Billing,validateAddress,FALSE
Microsoft.BillingBenefits,calculateMigrationCost,FALSE
Microsoft.BillingBenefits,savingsPlanOrderAliases,FALSE
Microsoft.BillingBenefits,savingsPlanOrders,FALSE
Microsoft.BillingBenefits,savingsPlanOrders / savingsPlans,FALSE
Microsoft.BillingBenefits,savingsPlans,FALSE
Microsoft.BillingBenefits,validate,FALSE
Microsoft.Bing,accounts,TRUE
Microsoft.Bing,accounts / usages,FALSE
Microsoft.Bing,registeredSubscriptions,FALSE
Microsoft.BlockchainTokens,TokenServices,TRUE
Microsoft.BlockchainTokens,TokenServices / BlockchainNetworks,FALSE
Microsoft.BlockchainTokens,TokenServices / Groups,FALSE
Microsoft.BlockchainTokens,TokenServices / Groups / Accounts,FALSE
Microsoft.BlockchainTokens,TokenServices / TokenTemplates,FALSE
Microsoft.Blueprint,blueprintAssignments,FALSE
Microsoft.Blueprint,blueprints,FALSE
Microsoft.Blueprint,blueprints / artifacts,FALSE
Microsoft.Blueprint,blueprints / versions,FALSE
Microsoft.Blueprint,blueprints / versions / artifacts,FALSE
Microsoft.BotService,botServices,TRUE
Microsoft.BotService,botServices / channels,FALSE
Microsoft.BotService,botServices / connections,FALSE
Microsoft.BotService,botServices / privateEndpointConnectionProxies,FALSE
Microsoft.BotService,botServices / privateEndpointConnections,FALSE
Microsoft.BotService,botServices / privateLinkResources,FALSE
Microsoft.BotService,hostSettings,FALSE
Microsoft.BotService,languages,FALSE
Microsoft.BotService,templates,FALSE
Microsoft.Cache,Redis,TRUE
Microsoft.Cache,Redis / EventGridFilters,FALSE
Microsoft.Cache,Redis / privateEndpointConnectionProxies,FALSE
Microsoft.Cache,Redis / privateEndpointConnectionProxies / validate,FALSE
Microsoft.Cache,Redis / privateEndpointConnections,FALSE
Microsoft.Cache,Redis / privateLinkResources,FALSE
Microsoft.Cache,redisEnterprise,TRUE
Microsoft.Cache,redisEnterprise / databases,FALSE
Microsoft.Cache,RedisEnterprise / privateEndpointConnectionProxies,FALSE
Microsoft.Cache,RedisEnterprise / privateEndpointConnectionProxies / validate,FALSE
Microsoft.Cache,RedisEnterprise / privateEndpointConnections,FALSE
Microsoft.Cache,RedisEnterprise / privateLinkResources,FALSE
Microsoft.Capacity,appliedReservations,FALSE
Microsoft.Capacity,autoQuotaIncrease,FALSE
Microsoft.Capacity,calculateExchange,FALSE
Microsoft.Capacity,calculatePrice,FALSE
Microsoft.Capacity,calculatePurchasePrice,FALSE
Microsoft.Capacity,catalogs,FALSE
Microsoft.Capacity,commercialReservationOrders,FALSE
Microsoft.Capacity,exchange,FALSE
Microsoft.Capacity,ownReservations,FALSE
Microsoft.Capacity,placePurchaseOrder,FALSE
Microsoft.Capacity,reservationOrders,FALSE
Microsoft.Capacity,reservationOrders / calculateRefund,FALSE
Microsoft.Capacity,reservationOrders / merge,FALSE
Microsoft.Capacity,reservationOrders / reservations,FALSE
Microsoft.Capacity,reservationOrders / reservations / revisions,FALSE
Microsoft.Capacity,reservationOrders / return,FALSE
Microsoft.Capacity,reservationOrders / split,FALSE
Microsoft.Capacity,reservationOrders / swap,FALSE
Microsoft.Capacity,reservations,FALSE
Microsoft.Capacity,resourceProviders,FALSE
Microsoft.Capacity,resources,FALSE
Microsoft.Capacity,validateReservationOrder,FALSE
Microsoft.Cascade,sites,TRUE
Microsoft.Cdn,canMigrate,FALSE
Microsoft.Cdn,CdnWebApplicationFirewallManagedRuleSets,FALSE
Microsoft.Cdn,CdnWebApplicationFirewallPolicies,TRUE
Microsoft.Cdn,edgenodes,FALSE
Microsoft.Cdn,migrate,FALSE
Microsoft.Cdn,profiles,TRUE
Microsoft.Cdn,profiles / afdendpoints,TRUE
Microsoft.Cdn,profiles / afdendpoints / routes,FALSE
Microsoft.Cdn,profiles / customdomains,FALSE
Microsoft.Cdn,profiles / endpoints,TRUE
Microsoft.Cdn,profiles / endpoints / customdomains,FALSE
Microsoft.Cdn,profiles / endpoints / origingroups,FALSE
Microsoft.Cdn,profiles / endpoints / origins,FALSE
Microsoft.Cdn,profiles / origingroups,FALSE
Microsoft.Cdn,profiles / origingroups / origins,FALSE
Microsoft.Cdn,profiles / policies,FALSE
Microsoft.Cdn,profiles / rulesets,FALSE
Microsoft.Cdn,profiles / rulesets / rules,FALSE
Microsoft.Cdn,profiles / secrets,FALSE
Microsoft.Cdn,profiles / securitypolicies,FALSE
Microsoft.Cdn,validateProbe,FALSE
Microsoft.Cdn,validateSecret,FALSE
Microsoft.CertificateRegistration,certificateOrders,TRUE
Microsoft.CertificateRegistration,certificateOrders / certificates,FALSE
Microsoft.CertificateRegistration,validateCertificateRegistrationInformation,FALSE
Microsoft.ChangeAnalysis,changes,FALSE
Microsoft.ChangeAnalysis,changeSnapshots,FALSE
Microsoft.ChangeAnalysis,computeChanges,FALSE
Microsoft.ChangeAnalysis,profile,FALSE
Microsoft.Chaos,artifactSetDefinitions,FALSE
Microsoft.Chaos,artifactSetSnapshots,FALSE
Microsoft.Chaos,experiments,TRUE
Microsoft.Chaos,targets,FALSE
Microsoft.ClassicCompute,capabilities,FALSE
Microsoft.ClassicCompute,domainNames,TRUE
Microsoft.ClassicCompute,domainNames / capabilities,FALSE
Microsoft.ClassicCompute,domainNames / internalLoadBalancers,FALSE
Microsoft.ClassicCompute,domainNames / serviceCertificates,FALSE
Microsoft.ClassicCompute,domainNames / slots,FALSE
Microsoft.ClassicCompute,domainNames / slots / roles,FALSE
Microsoft.ClassicCompute,domainNames / slots / roles / metricDefinitions,FALSE
Microsoft.ClassicCompute,domainNames / slots / roles / metrics,FALSE
Microsoft.ClassicCompute,moveSubscriptionResources,FALSE
Microsoft.ClassicCompute,operatingSystemFamilies,FALSE
Microsoft.ClassicCompute,operatingSystems,FALSE
Microsoft.ClassicCompute,quotas,FALSE
Microsoft.ClassicCompute,resourceTypes,FALSE
Microsoft.ClassicCompute,validateSubscriptionMoveAvailability,FALSE
Microsoft.ClassicCompute,virtualMachines,TRUE
Microsoft.ClassicCompute,virtualMachines / diagnosticSettings,FALSE
Microsoft.ClassicCompute,virtualMachines / metricDefinitions,FALSE
Microsoft.ClassicCompute,virtualMachines / metrics,FALSE
Microsoft.ClassicInfrastructureMigrate,classicInfrastructureResources,FALSE
Microsoft.ClassicNetwork,capabilities,FALSE
Microsoft.ClassicNetwork,expressRouteCrossConnections,FALSE
Microsoft.ClassicNetwork,expressRouteCrossConnections / peerings,FALSE
Microsoft.ClassicNetwork,gatewaySupportedDevices,FALSE
Microsoft.ClassicNetwork,networkSecurityGroups,TRUE
Microsoft.ClassicNetwork,quotas,FALSE
Microsoft.ClassicNetwork,reservedIps,TRUE
Microsoft.ClassicNetwork,virtualNetworks,TRUE
Microsoft.ClassicNetwork,virtualNetworks / remoteVirtualNetworkPeeringProxies,FALSE
Microsoft.ClassicNetwork,virtualNetworks / virtualNetworkPeerings,FALSE
Microsoft.ClassicStorage,capabilities,FALSE
Microsoft.ClassicStorage,disks,FALSE
Microsoft.ClassicStorage,images,FALSE
Microsoft.ClassicStorage,osImages,FALSE
Microsoft.ClassicStorage,osPlatformImages,FALSE
Microsoft.ClassicStorage,publicImages,FALSE
Microsoft.ClassicStorage,quotas,FALSE
Microsoft.ClassicStorage,storageAccounts,TRUE
Microsoft.ClassicStorage,storageAccounts / blobServices,FALSE
Microsoft.ClassicStorage,storageAccounts / fileServices,FALSE
Microsoft.ClassicStorage,storageAccounts / metricDefinitions,FALSE
Microsoft.ClassicStorage,storageAccounts / metrics,FALSE
Microsoft.ClassicStorage,storageAccounts / queueServices,FALSE
Microsoft.ClassicStorage,storageAccounts / services,FALSE
Microsoft.ClassicStorage,storageAccounts / services / diagnosticSettings,FALSE
Microsoft.ClassicStorage,storageAccounts / services / metricDefinitions,FALSE
Microsoft.ClassicStorage,storageAccounts / services / metrics,FALSE
Microsoft.ClassicStorage,storageAccounts / tableServices,FALSE
Microsoft.ClassicStorage,storageAccounts / vmImages,FALSE
Microsoft.ClassicStorage,vmImages,FALSE
Microsoft.CodeSigning,codeSigningAccounts,TRUE
Microsoft.CodeSigning,codeSigningAccounts / certificateProfiles,FALSE
Microsoft.Codespaces,plans,TRUE
Microsoft.Codespaces,registeredSubscriptions,FALSE
Microsoft.CognitiveServices,accounts,TRUE
Microsoft.CognitiveServices,accounts / networkSecurityPerimeterAssociationProxies,FALSE
Microsoft.CognitiveServices,accounts / privateEndpointConnectionProxies,FALSE
Microsoft.CognitiveServices,accounts / privateEndpointConnections,FALSE
Microsoft.CognitiveServices,accounts / privateLinkResources,FALSE
